Name	468_MeCP2_NTC - linear total RPKM	468_MeCP2_sh1 - linear total RPKM	468_MeCP2_sh3 - linear total RPKM
A1BG	0.723	2.046	1.619
A1BG-AS1	2.547	4.397	3.36
A1CF	0.007	0	0
A2M	0.178	12.198	3.933
A2M-AS1	0.023	0.444	0.196
A2ML1	0.773	1.007	1.045
A3GALT2	0.02	0.386	0.258
A4GALT	56.773	51.711	48.105
A4GNT	0.002	0	0
AAAS	3.92	13.329	14.448
AACS	3.659	14.486	12.406
AADAC	0	0	0
AADACL2	0	0	0
AADACL2-AS1	0.416	0.496	0.4
AADACL3	0.087	0.431	0.184
AADACL4	0	0	0
AADAT	0.59	2.933	2.189
AAGAB	4.146	31.387	31.066
AAK1	1.892	14.391	12.425
AAMDC	9.992	25.618	21.925
AAMP	20.533	66.007	58.236
AANAT	0.039	0.527	0.589
AAR2	3.461	11.215	10.007
AARD	16.743	28.21	37.588
AARS1	15.705	61.603	57.845
AARS2	3.217	11.219	9.592
AARSD1	5.828	13.821	11.644
AASDH	2.372	3.095	3.036
AASDHPPT	6.968	21.834	17.585
AASS	1.482	1.695	1.415
AATBC	0.613	1.511	1.096
AATF	6.549	23.883	21.33
AATK	0.722	1.14	1.499
ABALON	1.13	11.024	12.393
ABAT	0.252	0.582	0.74
ABCA1	0.072	0.201	0.186
ABCA2	3.045	11.706	11.752
ABCA3	1.146	3.709	3.464
ABCA4	0.417	0.637	0.856
ABCA5	0.248	0.726	0.937
ABCA6	0	0	0
ABCA7	1.397	2.917	3.438
ABCA8	0.063	0.258	0.191
ABCA9	0	0	0
ABCA9-AS1	0	0	0
ABCA10	0.031	0.001	0.005
ABCA12	0.441	1.664	1.634
ABCA13	0	0	0
ABCB1	0.013	0.441	0.291
ABCB4	0.04	0.007	0.034
ABCB5	0	0	0
ABCB6	3.401	11.264	12.95
ABCB7	1.385	8.262	7.908
ABCB8	3.663	10.948	11.725
ABCB9	5.655	7.796	6.838
ABCB10	3.427	5.688	3.946
ABCB11	0.001	0.005	0.001
ABCC1	3.397	10.887	12.002
ABCC2	0.025	0.142	0.188
ABCC3	3.204	5.431	8.489
ABCC4	1.466	6.084	6.459
ABCC5	3.63	10.766	8.402
ABCC5-AS1	0.002	0.242	0.033
ABCC6	0.022	0.395	0.206
ABCC8	0.063	0.178	0.171
ABCC9	0	0	0
ABCC10	4.427	13.856	13.405
ABCC11	2	1.97	1.925
ABCC12	0	0	0.001
ABCD1	3.588	13.462	11.551
ABCD2	0.135	0.396	0.31
ABCD3	8.9	41.484	40.42
ABCD4	5.958	4.876	5.6
ABCE1	5.802	25.929	22.511
ABCF1	12.978	55.3	50.142
ABCF1-DT	0.44	1.666	1.447
ABCF2	0.523	0.003	0.038
ABCF3	4.072	12.531	10.29
ABCG1	0.256	0.16	0.311
ABCG2	0.044	0	0.001
ABCG4	0.039	0.014	0.022
ABCG5	0.001	0	0
ABCG8	0.314	0.752	0.684
ABHD1	0.375	1.043	0.852
ABHD2	1.362	5.674	5.412
ABHD3	2.581	7.963	8.175
ABHD4	0.88	4.716	3.401
ABHD5	1.404	5.003	4.704
ABHD6	0.644	1.7	1.856
ABHD8	9.921	19.501	27.979
ABHD10	3.474	11.194	8.074
ABHD11	24.89	29.776	25.9
ABHD11-AS1	0.059	2.116	1.01
ABHD12	10.845	45.469	39.644
ABHD12B	0	0	0
ABHD13	1.491	4.802	4.948
ABHD14A	0.059	1.151	2.047
ABHD14A-ACY1	1.804	12.74	11.525
ABHD14B	3.226	8.468	12.213
ABHD15	1.16	1.772	1.949
ABHD16A	4.115	22.451	21.341
ABHD16B	1.139	2.64	2.812
ABHD17A	20.152	36.147	31.572
ABHD17B	1.449	8.18	6.592
ABHD17C	2.368	11.109	10.028
ABHD18	16.757	12.974	14.939
ABI1	1.869	8.347	7.876
ABI2	9.921	14.13	14.584
ABI3	0	0	0
ABI3BP	0.001	0	0
ABITRAM	2.056	3.758	3.848
ABL1	3.639	16.994	16.496
ABL2	2.105	9.916	7.688
ABLIM1	0.105	1.915	1.46
ABLIM2	0.05	0.709	0.889
ABLIM3	0.019	0.014	0.182
ABO	0	0	0
ABR	2.811	7.641	6.365
ABRA	0.001	0.157	0.183
ABRACL	15.254	102.91	77.219
ABRAXAS1	0.12	3.576	1.62
ABRAXAS2	1.105	2.518	2.332
ABT1	4.245	23.61	23.118
ABTB1	1.078	2.187	2.603
ABTB2	4.453	11.731	16.571
ACAA1	4.162	15.239	14.567
ACAA2	5.604	15.062	17.952
ACACA	4.231	10.198	8.159
ACACB	2.489	2.811	2.669
ACAD8	3.391	12.075	10.34
ACAD9	4.084	18.121	15.581
ACAD10	1.389	3.519	2.899
ACAD11	0.64	0.314	0.229
ACADL	0	0	0
ACADM	5.353	26.179	23.03
ACADS	0.75	2.037	2.686
ACADSB	0.053	1.36	1.002
ACADVL	30.721	59.019	64.971
ACAN	0	0.001	0
ACAP1	0.404	1.331	1.079
ACAP2	1.662	6.844	5.966
ACAP3	10.424	26.569	25.799
ACAT1	0.381	16.498	15.842
ACAT2	9.75	61.809	48.325
ACBD3	15.966	27.059	19.42
ACBD3-AS1	0.049	0.332	0.025
ACBD4	14.673	10.337	11.333
ACBD5	0.349	1.13	1.032
ACBD6	3.214	5.786	5.377
ACBD7	0.122	2.052	1.067
ACBD7-DCLRE1CP1	0.238	1.078	0.547
ACCS	2.017	5.296	4.442
ACCSL	0.027	0.443	0.63
ACD	4.283	9.302	9.073
ACE	0.033	0.327	0.534
ACE2	0.014	0.088	0.136
ACER1	0	0.002	0
ACER2	1.26	1.545	1.261
ACER3	8.534	16.179	13.415
ACHE	0.054	0.193	0.136
ACIN1	8.836	28.279	26.882
ACKR1	0	0	0
ACKR2	2.828	8.811	9.828
ACKR3	0.001	0	0
ACKR4	0.027	0.037	0.298
ACLY	12.403	73.494	54.887
ACMSD	0	0.011	0.002
ACO1	1.187	6.715	4.399
ACO2	10.921	37.928	36.878
ACOD1	0	0	0
ACOT1	6.337	18.624	19.659
ACOT2	30.064	34.827	42.111
ACOT4	0.492	1.536	1.929
ACOT6	0.001	0.002	0.015
ACOT7	10.156	27.955	28.352
ACOT8	3.975	17.938	18.228
ACOT9	1.513	8.312	6.213
ACOT11	0.081	1.4	1.934
ACOT12	0	0	0.001
ACOT13	6.974	36.745	34.207
ACOX1	5.72	30.901	26.97
ACOX2	0.115	0.242	0.147
ACOX3	1.509	4.235	3.827
ACOXL	0.018	0.215	0.241
ACOXL-AS1	0.001	0.008	0.036
ACP1	16.033	84.708	79.468
ACP2	4.542	17.612	15.559
ACP4	0.232	0.732	0.639
ACP5	0.038	0.027	0.356
ACP6	5.499	5.795	5.141
ACP7	7.582	9.608	10.025
ACPP	0.095	1.3	1.754
ACR	0.142	0.082	0.057
ACRBP	0.104	0.019	0.102
ACRV1	0.037	0.883	0.572
ACSBG1	1.225	0.992	0.988
ACSBG2	0.008	0.062	0.007
ACSF2	5.646	19.423	17.137
ACSF3	14.315	15.407	15.419
ACSL1	4.681	28.897	17.568
ACSL3	9.75	60.607	46.961
ACSL3-AS1	0.276	1.503	0.705
